"Ring","Colony","Sp","geo_trip","Migration","BA_dep_date","WA_A_arr_date","WA_A_dep_date","WA_B_arr_date","WA_B_dep_date","BA_arr_date","complete","year_dep","WA"
"FS56059","FRANCE","PUFYEL","1706001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2006,"Western Mediterranean"
"FS56059","FRANCE","PUFYEL","1706001002","Resident",NA,NA,NA,NA,NA,NA,"Complete",2007,"Western Mediterranean"
"5056077","MALLORCA","PUFMAU","17075001001","Resident",NA,NA,NA,NA,NA,NA,"Complete",2012,"Western Mediterranean"
"5120247","MINORCA","PUFYEL","17079001001","Migrant","2012-06-02T00:00:00Z","2012-06-10T00:00:00Z",NA,NA,NA,NA,"Uncomplete",2012,"Alboran Sea"
"FT67725","FRANCE","PUFYEL","1711001001","Migrant","2006-07-23T00:00:00Z","2006-07-25T00:00:00Z","2006-10-28T00:00:00Z",NA,NA,"2006-10-31T00:00:00Z","Complete",2006,"Western Mediterranean"
"5056093","MALLORCA","PUFMAU","17130001001","Migrant","2012-07-07T19:39:00Z","2012-07-15T20:02:45Z","2012-09-13T18:54:10Z",NA,NA,"2012-09-20T05:13:00Z","Complete",2012,"Saharan Upwelling"
"5107125","MALLORCA","PUFMAU","18A571001001","Migrant","2012-06-12T04:04:30Z","2012-06-15T20:30:30Z","2012-09-15T19:07:39Z",NA,NA,"2012-10-12T05:37:50Z","Complete",2012,"South European Atlantic Shelf"
"5043573","MALLORCA","PUFMAU","22081001001","Migrant","2010-07-02T19:58:21Z","2011-01-22T06:53:17Z","2011-03-14T18:21:41Z",NA,NA,NA,"Uncomplete",2010,"South European Atlantic Shelf"
"5048326","MALLORCA","PUFMAU","22082001001","Migrant","2010-06-21T03:55:01Z","2010-06-24T04:38:33Z","2010-10-18T06:25:02Z",NA,NA,"2010-11-09T06:05:16Z","Complete",2010,"South European Atlantic Shelf"
"5068669","MALLORCA","PUFMAU","22082002001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
"5048324","MALLORCA","PUFMAU","22084001001","Migrant","2010-06-23T20:06:24Z","2010-06-28T04:41:53Z","2010-10-11T17:55:09Z",NA,NA,"2010-10-17T17:40:09Z","Complete",2010,"South European Atlantic Shelf"
"5107123","MALLORCA","PUFMAU","22085001001","Migrant",NA,NA,NA,NA,NA,NA,"Complete",2011,"South European Atlantic Shelf"
"5107123","MALLORCA","PUFMAU","22085002001","Migrant","2010-05-27T19:40:15Z","2010-06-06T04:42:54Z","2010-10-12T06:13:32Z",NA,NA,"2010-10-25T17:31:54Z","Complete",2010,"South European Atlantic Shelf"
"5107134","MALLORCA","PUFMAU","22086001001","Migrant","2010-07-08T04:13:45Z","2010-07-10T20:12:05Z","2010-11-02T06:03:22Z",NA,NA,"2010-11-16T06:15:15Z","Complete",2010,"South European Atlantic Shelf"
"5107134","MALLORCA","PUFMAU","22086002001","Migrant",NA,NA,NA,NA,NA,NA,"Uncomplete",2011,NA
