"Colony","Lat","Lon","Pop","Group"
"Colata",40.8754,9.6825,"Sardinia","Central-West"
"La Mola",39.874,4.306,"Minorca","Central-West"
"Majjistral",35.93624,14.3411,"Malta","Central-East"
"Rdum",35.9921,14.3723,"Malta","Central-East"
"Gyaros",37.61284,24.6629,"Greece","EasternMost"
"Zaklopatica",42.7735,16.8706,"Croatia","Central-East"
"Veli Maslovnjak",42.77897,16.829126,"Croatia","Central-East"
"Kappari",37.2702,26.73568,"Greece","EasternMost"
"Porquerolles",42.97886,5.7543,"France","Central-West"
"Port-Cros",43.0065,6.37732,"France","Central-West"
"Sa Conillera",38.986387,1.1938793,"Ibiza","WesternMost"
"Sa Cella",39.6,2.35,"Mallorca","WesternMost"
