"Ring","Colony","Sp","geo_trip","Migration","complete","year_dep","B_dep","WA_arr","WA_dep","BA_arr","B_dep_jul","WA_arr_jul","WA_dep_jul","BA_arr_jul","WA"
"FS56059","France","PUFYEL","1706001001","Resident","Complete",2006,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"FS56059","France","PUFYEL","1706001002","Resident","Complete",2007,NA,NA,NA,NA,NA,NA,NA,NA,"Western Mediterranean"
"5056077","Mallorca","PUFMAU","17075001001","Migrant","Complete",2012,"2012-04-28","2012-07-08","2012-09-19","2012-09-24",52,NA,NA,NA,"South European Atlantic Shelf"
"5120247","Minorca","PUFYEL","17079001001","Migrant","Uncomplete",2012,NA,"2012-06-10",NA,NA,NA,95,NA,NA,"Alboran Sea"
"FT67725","France","PUFYEL","1711001001","Migrant","Complete",2006,"2006-06-13","2006-07-25","2006-10-28","2006-10-31",91,133,228,231,"Western Mediterranean"
"5056093","Mallorca","PUFMAU","17130001001","Migrant","Complete",2012,"2012-05-02","2012-07-15","2012-09-13","2012-09-20",56,130,190,196,"Saharan Upwelling"
"5107125","Mallorca","PUFMAU","18A571001001","Migrant","Complete",2012,"2012-04-28","2012-06-15","2012-09-15","2012-10-12",52,100,192,215,"South European Atlantic Shelf"
"5043573","Mallorca","PUFMAU","22081001001","Migrant","Uncomplete",2010,"2010-05-06","2011-01-22","2011-03-14",NA,38,309,360,181,"South European Atlantic Shelf"
"5048326","Mallorca","PUFMAU","22082001001","Migrant","Complete",2010,"2010-04-29","2010-06-24","2010-10-18","2010-11-09",31,87,203,181,"South European Atlantic Shelf"
"5068669","Mallorca","PUFMAU","22082002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5048324","Mallorca","PUFMAU","22084001001","Migrant","Complete",2010,"2010-04-26","2010-06-28","2010-10-11","2010-10-17",28,91,196,175,"South European Atlantic Shelf"
"5107123","Mallorca","PUFMAU","22085001001","Migrant","Complete",2011,"2011-04-29",NA,NA,NA,41,NA,NA,NA,"South European Atlantic Shelf"
"5107123","Mallorca","PUFMAU","22085002001","Migrant","Complete",2010,"2010-05-03","2010-06-06","2010-10-12","2010-10-25",35,69,197,207,"South European Atlantic Shelf"
"5107134","Mallorca","PUFMAU","22086001001","Migrant","Complete",2010,"2010-05-02","2010-07-10","2010-11-02","2010-11-16",34,103,218,217,"South European Atlantic Shelf"
"5107134","Mallorca","PUFMAU","22086002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068560","Mallorca","PUFMAU","22087001001","Migrant","Complete",2010,"2010-05-04","2010-07-03","2010-09-09","2010-09-17",36,96,164,172,"South European Atlantic Shelf"
"5068560","Mallorca","PUFMAU","22087002001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5073663","Mallorca","PUFMAU","22089001001","Migrant","Complete",2010,"2010-05-03","2010-06-28","2010-09-17","2010-09-25",35,91,172,180,"Saharan Upwelling"
"5107123","Mallorca","PUFMAU","22091001001","Migrant","Complete",2012,"2012-05-02","2012-05-31","2012-09-12","2012-09-16",56,85,189,193,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22091002001","Migrant","Complete",2010,"2010-05-17","2010-07-20","2010-10-09","2010-10-18",49,113,194,196,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22091003001","Migrant","Complete",2011,"2011-04-27","2011-07-10","2011-08-20","2011-11-08",39,113,154,226,"South European Atlantic Shelf"
"5085636","Mallorca","PUFMAU","22092001001","Migrant","Uncomplete",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068532","Mallorca","PUFMAU","22093001001","Migrant","Complete",2010,"2010-05-19","2010-06-02","2010-09-14","2010-10-23",51,65,169,187,"South European Atlantic Shelf"
"5068507","Mallorca","PUFMAU","22094001001","Migrant","Complete",2010,"2010-05-01","2010-07-02","2010-09-13","2010-09-24",33,95,168,179,"South European Atlantic Shelf"
"TJ3255","Sardinia","PUFYEL","22151001","Resident","Complete",2010,"2010-05-04",NA,NA,NA,36,NA,NA,NA,"Western Mediterranean"
"TJ3257","Sardinia","PUFYEL","22153001","Migrant","Complete",2010,"2010-06-05","2010-07-22","2010-11-15","2010-12-07",68,115,231,253,"Black Sea"
"TJ3258","Sardinia","PUFYEL","22154001","Resident","Complete",2010,"2010-05-03",NA,NA,NA,35,NA,NA,NA,"Adriatic Sea"
"TJ3259","Sardinia","PUFYEL","22155001","Resident","Complete",2010,"2010-05-04",NA,NA,NA,36,NA,NA,NA,"Western Mediterranean"
"TJ3262","Sardinia","PUFYEL","22157001","Migrant","Complete",2010,"2010-06-15","2010-07-30","2010-11-25","2010-12-07",78,123,241,253,"Black Sea"
"TJ3263","Sardinia","PUFYEL","22158001","Migrant","Complete",2010,"2010-04-28","2010-06-13","2010-12-09","2010-12-19",30,76,255,265,"Black Sea"
"TJ3261","Sardinia","PUFYEL","22159001","Resident","Complete",2010,"2010-06-03",NA,NA,NA,66,NA,NA,NA,"Western Mediterranean"
"TJ3264","Sardinia","PUFYEL","22160001","Resident","Complete",2010,"2010-07-03",NA,NA,NA,96,NA,NA,NA,"Western Mediterranean"
"TJ3265","Sardinia","PUFYEL","22161001","Migrant","Uncomplete",2010,"2010-05-05","2010-07-21","2011-01-28",NA,37,114,315,327,"Black Sea"
"TA2209","Sardinia","PUFYEL","22162001","Migrant","Complete",2010,"2010-07-10","2010-09-27","2010-11-28","2010-12-05",103,182,244,251,"Western Mediterranean"
"5042865","Mallorca","PUFMAU","22180001001","Migrant","Complete",2010,"2010-05-05","2010-06-04","2010-10-17","2010-10-20",37,67,202,205,"South European Atlantic Shelf"
"5073591","Mallorca","PUFMAU","22181001001","Migrant","Complete",2010,"2010-04-30","2010-06-25","2010-09-19","2010-09-23",32,88,174,178,"South European Atlantic Shelf"
"5073591","Mallorca","PUFMAU","22181002001","Migrant","Complete",2011,"2011-04-26","2011-08-28","2011-10-07","2011-10-15",38,162,202,210,"South European Atlantic Shelf"
"5107137","Mallorca","PUFMAU","22181003001","Migrant","Complete",2012,"2012-05-01","2012-07-13","2012-10-13","2012-10-19",55,128,220,224,"South European Atlantic Shelf"
"5068669","Mallorca","PUFMAU","22182001001","Migrant","Complete",2010,"2010-04-25","2010-06-23","2010-09-24","2010-10-01",27,86,179,183,"South European Atlantic Shelf"
